"SR- LS SCL"|"Yes"|"Yes"|"Stratified loamy sand to sandy clay loam"|"7928968"|"15147400"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930190"|"15147980"
"FSL"|"No "|"No "|"Fine sandy loam"|"7930190"|"15444323"
"L"|"No "|"No "|"Loam"|"7930190"|"15592494"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930191"|"15296152"
"CL"|"No "|"No "|"Clay loam"|"7930191"|"15444324"
"CL"|"No "|"No "|"Clay loam"|"7930192"|"15147981"
"C"|"No "|"No "|"Clay"|"7930192"|"15296153"
"SC"|"No "|"No "|"Sandy clay"|"7930192"|"15592495"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930193"|"15444325"
"CL"|"No "|"No "|"Clay loam"|"7930193"|"15592496"
"L"|"No "|"No "|"Loam"|"7930194"|"15147982"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930194"|"15296154"
"CL"|"No "|"No "|"Clay loam"|"7930194"|"15444326"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7930195"|"15592497"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7930196"|"15147983"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7930197"|"15296155"
"LS"|"No "|"Yes"|"Loamy sand"|"7930198"|"15444327"
"LS"|"No "|"Yes"|"Loamy sand"|"7930199"|"15592498"
"LS"|"No "|"Yes"|"Loamy sand"|"7930200"|"15147984"
"SL"|"No "|"No "|"Sandy loam"|"7930201"|"15296156"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930201"|"15444328"
"SL"|"No "|"No "|"Sandy loam"|"7930202"|"15147985"
"SC"|"No "|"No "|"Sandy clay"|"7930202"|"15296157"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930202"|"15592499"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930203"|"15147986"
"SC"|"No "|"No "|"Sandy clay"|"7930203"|"15444329"
"C"|"No "|"No "|"Clay"|"7930203"|"15592500"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930204"|"15296158"
"SL"|"No "|"No "|"Sandy loam"|"7930204"|"15444330"
"SC"|"No "|"No "|"Sandy clay"|"7930204"|"15592501"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7930205"|"15147987"
"SL"|"No "|"Yes"|"Sandy loam"|"7930206"|"15296159"
"SL"|"No "|"Yes"|"Sandy loam"|"7930207"|"15444331"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7935317"|"15446522"
"SCL"|"No "|"No "|"Sandy clay loam"|"7935320"|"15150180"
"L"|"No "|"No "|"Loam"|"7935320"|"15298352"
"CL"|"No "|"No "|"Clay loam"|"7935320"|"15594694"
"SL"|"No "|"Yes"|"Sandy loam"|"7935321"|"15446524"
"CL"|"No "|"No "|"Clay loam"|"7935322"|"15150181"
"SCL"|"No "|"No "|"Sandy clay loam"|"7935322"|"15594695"
"L"|"No "|"No "|"Loam"|"7935323"|"15298353"
"SL"|"No "|"No "|"Sandy loam"|"7935323"|"15446525"
"FSL"|"No "|"No "|"Fine sandy loam"|"7935323"|"15594696"
"SIL"|"No "|"No "|"Silt loam"|"7935324"|"15150182"
"L"|"No "|"No "|"Loam"|"7935324"|"15298354"
"SL"|"No "|"No "|"Sandy loam"|"7935324"|"15446526"
"L"|"No "|"Yes"|"Loam"|"7935325"|"15594697"
"L"|"No "|"No "|"Loam"|"7935334"|"15150188"
"CN-L"|"No "|"No "|"Channery loam"|"7935334"|"15446531"
"CN-FSL"|"No "|"No "|"Channery fine sandy loam"|"7935334"|"15594702"
"L"|"No "|"Yes"|"Loam"|"7935335"|"15298360"
"C"|"No "|"No "|"Clay"|"7942541"|"15301615"
"CL"|"No "|"No "|"Clay loam"|"7942541"|"15449787"
"SC"|"No "|"No "|"Sandy clay"|"7942541"|"15597958"
"SL"|"No "|"No "|"Sandy loam"|"7942542"|"15153444"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942542"|"15301616"
"L"|"No "|"No "|"Loam"|"7942542"|"15449788"
"L"|"No "|"Yes"|"Loam"|"7942621"|"15597999"
"SIL"|"No "|"Yes"|"Silt loam"|"7945302"|"15154705"
"SIL"|"No "|"No "|"Silt loam"|"7945303"|"15302877"
"SICL"|"No "|"No "|"Silty clay loam"|"7945303"|"15451049"
"SIC"|"No "|"No "|"Silty clay"|"7945304"|"15154706"
"C"|"No "|"No "|"Clay"|"7945304"|"15302878"
"SICL"|"No "|"No "|"Silty clay loam"|"7945304"|"15599220"
"GRV-SICL"|"No "|"No "|"Very gravelly silty clay loam"|"7945305"|"15451050"
"GRX-SICL"|"No "|"No "|"Extremely gravelly silty clay loam"|"7945305"|"15599221"
"GRV-L"|"No "|"No "|"Very gravelly loam"|"7945306"|"15154707"
"GRV-CL"|"No "|"No "|"Very gravelly clay loam"|"7945306"|"15302879"
"GRV-SCL"|"No "|"No "|"Very gravelly sandy clay loam"|"7945306"|"15451051"
"GRV-SICL"|"No "|"No "|"Very gravelly silty clay loam"|"7945369"|"15302907"
"GRX-SICL"|"No "|"No "|"Extremely gravelly silty clay loam"|"7945369"|"15451079"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7945370"|"15154736"
"GRV-SIL"|"No "|"No "|"Very gravelly silt loam"|"7945370"|"15302908"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7945370"|"15599250"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"7945371"|"15451080"
"SIC"|"No "|"No "|"Silty clay"|"7945372"|"15154737"
"SICL"|"No "|"No "|"Silty clay loam"|"7945372"|"15302909"
"C"|"No "|"No "|"Clay"|"7945372"|"15599251"
"CNV-SIL"|"No "|"No "|"Very channery silt loam"|"7945393"|"15302917"
"CNX-L"|"No "|"No "|"Extremely channery loam"|"7945393"|"15451089"
"L"|"No "|"No "|"Loam"|"7945394"|"15154746"
"CL"|"No "|"No "|"Clay loam"|"7945394"|"15302918"
"SIL"|"No "|"No "|"Silt loam"|"7945394"|"15599260"
"SIL"|"No "|"Yes"|"Silt loam"|"7945395"|"15451090"
"GR-SIC"|"No "|"No "|"Gravelly silty clay"|"7945396"|"15154747"
"GR-C"|"No "|"No "|"Gravelly clay"|"7945396"|"15599261"
"L"|"No "|"Yes"|"Loam"|"7945441"|"15302941"
"CL"|"No "|"No "|"Clay loam"|"7949783"|"15156622"
"SC"|"No "|"No "|"Sandy clay"|"7949783"|"15304794"
"C"|"No "|"No "|"Clay"|"7949783"|"15452966"
"SL"|"No "|"No "|"Sandy loam"|"7949784"|"15156623"
"FSL"|"No "|"No "|"Fine sandy loam"|"7949784"|"15304795"
"SCL"|"No "|"No "|"Sandy clay loam"|"7949784"|"15601137"
"SL"|"No "|"Yes"|"Sandy loam"|"7949816"|"15452982"
"LS"|"No "|"Yes"|"Loamy sand"|"7949817"|"15601153"
"SL"|"No "|"Yes"|"Sandy loam"|"7949818"|"15156639"
"SL"|"No "|"Yes"|"Sandy loam"|"7949819"|"15304811"
"L"|"No "|"No "|"Loam"|"7949901"|"15156678"
"CL"|"No "|"No "|"Clay loam"|"7949901"|"15304850"
"SCL"|"No "|"No "|"Sandy clay loam"|"7949901"|"15453022"
"VAR"|"No "|"Yes"|"Variable"|"7949902"|"15601193"
"LS"|"No "|"Yes"|"Loamy sand"|"7949922"|"15304861"
"SC"|"No "|"No "|"Sandy clay"|"7949923"|"15453033"
"C"|"No "|"No "|"Clay"|"7949923"|"15601204"
"SL"|"No "|"Yes"|"Sandy loam"|"7949924"|"15156690"
"FSL"|"No "|"No "|"Fine sandy loam"|"7949925"|"15304862"
"SL"|"No "|"No "|"Sandy loam"|"7949925"|"15453034"
"SCL"|"No "|"No "|"Sandy clay loam"|"7949925"|"15601205"
"SL"|"No "|"No "|"Sandy loam"|"7949930"|"15156694"
"SCL"|"No "|"No "|"Sandy clay loam"|"7949930"|"15453037"
"SC"|"No "|"No "|"Sandy clay"|"7949930"|"15601208"
"SL"|"No "|"No "|"Sandy loam"|"7949931"|"15304866"
"SCL"|"No "|"No "|"Sandy clay loam"|"7949931"|"15453038"
"GR-S"|"No "|"No "|"Gravelly sand"|"7949932"|"15156695"
"LS"|"No "|"No "|"Loamy sand"|"7949932"|"15304867"
"LFS"|"No "|"No "|"Loamy fine sand"|"7949932"|"15601209"
"SCL"|"No "|"No "|"Sandy clay loam"|"7949940"|"15156699"
"SC"|"No "|"No "|"Sandy clay"|"7949940"|"15601213"
"CL"|"No "|"No "|"Clay loam"|"7949941"|"15304871"
"SCL"|"No "|"No "|"Sandy clay loam"|"7949941"|"15453043"
"L"|"No "|"No "|"Loam"|"7949941"|"15601214"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7950061"|"15601270"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7950062"|"15156756"
"SL"|"No "|"Yes"|"Sandy loam"|"7950063"|"15304928"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950064"|"15156757"
"GR-FSL"|"No "|"No "|"Gravelly fine sandy loam"|"7950064"|"15453100"
"GR-L"|"No "|"No "|"Gravelly loam"|"7950064"|"15601271"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7950065"|"15304929"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7950066"|"15453101"
"C"|"No "|"Yes"|"Clay"|"7950101"|"15453118"
"GR-SIC"|"No "|"No "|"Gravelly silty clay"|"7950102"|"15156775"
"GR-C"|"No "|"No "|"Gravelly clay"|"7950102"|"15304947"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7950102"|"15601289"
"ST-SIL"|"No "|"No "|"Stony silt loam"|"7950105"|"15156777"
"GR-SIL"|"No "|"No "|"Gravelly silt loam"|"7950105"|"15453120"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7950105"|"15601291"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7950106"|"15304949"
"GR-SIC"|"No "|"No "|"Gravelly silty clay"|"7950106"|"15453121"
"GR-C"|"No "|"No "|"Gravelly clay"|"7950106"|"15601292"
"L"|"No "|"Yes"|"Loam"|"7950107"|"15156778"
"C"|"No "|"No "|"Clay"|"7950127"|"15156789"
"SIC"|"No "|"No "|"Silty clay"|"7950127"|"15304961"
"GR-SCL"|"No "|"No "|"Gravelly sandy clay loam"|"7950128"|"15156790"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7950128"|"15453133"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7950128"|"15601304"
"VAR"|"No "|"Yes"|"Variable"|"7950129"|"15304962"
"VAR"|"No "|"Yes"|"Variable"|"7950187"|"15453162"
"GR-SCL"|"No "|"Yes"|"Gravelly sandy clay loam"|"7950188"|"15601333"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7950208"|"15453170"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7950209"|"15601341"
"LS"|"No "|"Yes"|"Loamy sand"|"7950210"|"15156827"
"ST-SL"|"No "|"Yes"|"Stony sandy loam"|"7950211"|"15304999"
"C"|"No "|"No "|"Clay"|"7950212"|"15156828"
"SC"|"No "|"No "|"Sandy clay"|"7950212"|"15453171"
"CL"|"No "|"No "|"Clay loam"|"7950212"|"15601342"
"LFS"|"No "|"No "|"Loamy fine sand"|"7950611"|"15157011"
"FS"|"No "|"No "|"Fine sand"|"7950611"|"15305183"
"LS"|"No "|"No "|"Loamy sand"|"7950611"|"15601525"
"SC"|"No "|"No "|"Sandy clay"|"7950682"|"15157046"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950682"|"15453389"
"SL"|"No "|"No "|"Sandy loam"|"7950682"|"15601560"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950683"|"15305218"
"S"|"No "|"No "|"Sand"|"7950683"|"15453390"
"LFS"|"No "|"No "|"Loamy fine sand"|"7950683"|"15601561"
"LS"|"No "|"No "|"Loamy sand"|"7950684"|"15157047"
"S"|"No "|"No "|"Sand"|"7950684"|"15305219"
"FS"|"No "|"No "|"Fine sand"|"7950684"|"15453391"
"SL"|"No "|"Yes"|"Sandy loam"|"7950685"|"15601562"
"SL"|"No "|"No "|"Sandy loam"|"7950687"|"15157049"
"SC"|"No "|"No "|"Sandy clay"|"7950687"|"15305221"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950687"|"15601563"
"S"|"No "|"No "|"Sand"|"7950688"|"15453393"
"FS"|"No "|"No "|"Fine sand"|"7950688"|"15601564"
"S"|"No "|"No "|"Sand"|"7950689"|"15157050"
"FS"|"No "|"No "|"Fine sand"|"7950689"|"15305222"
"LFS"|"No "|"No "|"Loamy fine sand"|"7950689"|"15453394"
"S"|"No "|"No "|"Sand"|"7950690"|"15157051"
"FS"|"No "|"No "|"Fine sand"|"7950690"|"15601565"
"S"|"No "|"No "|"Sand"|"7950691"|"15305223"
"FS"|"No "|"No "|"Fine sand"|"7950691"|"15453395"
"LFS"|"No "|"No "|"Loamy fine sand"|"7950691"|"15601566"
"FS"|"No "|"No "|"Fine sand"|"7950692"|"15157052"
"S"|"No "|"No "|"Sand"|"7950692"|"15305224"
"LFS"|"No "|"No "|"Loamy fine sand"|"7950692"|"15453396"
"S"|"No "|"No "|"Sand"|"7950693"|"15157053"
"FS"|"No "|"No "|"Fine sand"|"7950693"|"15601567"
"FS"|"No "|"No "|"Fine sand"|"7950694"|"15305225"
"S"|"No "|"No "|"Sand"|"7950694"|"15453397"
"LS"|"No "|"No "|"Loamy sand"|"7950694"|"15601568"
"S"|"No "|"No "|"Sand"|"7950695"|"15157054"
"FS"|"No "|"No "|"Fine sand"|"7950695"|"15305226"
"SL"|"No "|"No "|"Sandy loam"|"7950701"|"15157058"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7950701"|"15305230"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950701"|"15453402"
"S"|"No "|"No "|"Sand"|"7950702"|"15157059"
"FS"|"No "|"No "|"Fine sand"|"7950702"|"15305231"
"COS"|"No "|"No "|"Coarse sand"|"7950702"|"15601573"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7950831"|"15453460"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"7950832"|"15601631"
"L"|"No "|"Yes"|"Loam"|"7950833"|"15157117"
"SIL"|"No "|"No "|"Silt loam"|"7950834"|"15305289"
"SICL"|"No "|"No "|"Silty clay loam"|"7950834"|"15453461"
"CL"|"No "|"No "|"Clay loam"|"7950834"|"15601632"
"SIL"|"No "|"Yes"|"Silt loam"|"7950835"|"15157118"
"VAR"|"No "|"Yes"|"Variable"|"7950836"|"15305290"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7950837"|"15453462"
"GR-C"|"No "|"No "|"Gravelly clay"|"7950837"|"15601633"
"SIL"|"No "|"Yes"|"Silt loam"|"7950838"|"15157119"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"7950839"|"15305291"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"7950840"|"15453463"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7950841"|"15157120"
"GR-L"|"No "|"No "|"Gravelly loam"|"7950841"|"15305292"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7950841"|"15601634"
"GR-L"|"No "|"No "|"Gravelly loam"|"7950842"|"15157121"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7950842"|"15453464"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7950842"|"15601635"
"C"|"No "|"Yes"|"Clay"|"7950843"|"15305293"
"SIL"|"No "|"No "|"Silt loam"|"7950844"|"15157122"
"SICL"|"No "|"No "|"Silty clay loam"|"7950844"|"15453465"
"CL"|"No "|"No "|"Clay loam"|"7950844"|"15601636"
"GR-L"|"No "|"No "|"Gravelly loam"|"7950845"|"15305294"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7950845"|"15453466"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7950845"|"15601637"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7950846"|"15157123"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"7950847"|"15305295"
"GR-SICL"|"No "|"Yes"|"Gravelly silty clay loam"|"7950848"|"15453467"
"GR-SIC"|"No "|"No "|"Gravelly silty clay"|"7950849"|"15157124"
"GR-C"|"No "|"No "|"Gravelly clay"|"7950849"|"15305296"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7950849"|"15601638"
"SICL"|"No "|"No "|"Silty clay loam"|"7950850"|"15157125"
"SIL"|"No "|"No "|"Silt loam"|"7950850"|"15453468"
"CL"|"No "|"No "|"Clay loam"|"7950850"|"15601639"
"GR-L"|"No "|"No "|"Gravelly loam"|"7950851"|"15305297"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7950851"|"15453469"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7950851"|"15601640"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7950852"|"15157126"
"CL"|"No "|"No "|"Clay loam"|"7950853"|"15305298"
"L"|"No "|"No "|"Loam"|"7950853"|"15453470"
"C"|"No "|"No "|"Clay"|"7950853"|"15601641"
"L"|"No "|"No "|"Loam"|"7950854"|"15157127"
"CL"|"No "|"No "|"Clay loam"|"7950854"|"15305299"
"SICL"|"No "|"No "|"Silty clay loam"|"7950854"|"15453471"
"SIL"|"No "|"Yes"|"Silt loam"|"7950855"|"15601642"
"CL"|"No "|"No "|"Clay loam"|"7950856"|"15157128"
"C"|"No "|"No "|"Clay"|"7950856"|"15305300"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7950857"|"15157129"
"GR-L"|"No "|"No "|"Gravelly loam"|"7950857"|"15453472"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7950857"|"15601643"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950858"|"15305301"
"CL"|"No "|"No "|"Clay loam"|"7950858"|"15453473"
"CL"|"No "|"No "|"Clay loam"|"7950859"|"15157130"
"SICL"|"No "|"No "|"Silty clay loam"|"7950859"|"15305302"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950859"|"15601644"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950860"|"15157131"
"SL"|"No "|"No "|"Sandy loam"|"7950860"|"15453474"
"L"|"No "|"No "|"Loam"|"7950860"|"15601645"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"7950861"|"15305303"
"SL"|"No "|"No "|"Sandy loam"|"7950862"|"15157132"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950862"|"15453475"
"L"|"No "|"No "|"Loam"|"7950862"|"15601646"
"CL"|"No "|"No "|"Clay loam"|"7950863"|"15305304"
"C"|"No "|"No "|"Clay"|"7950863"|"15453476"
"CL"|"No "|"No "|"Clay loam"|"7950864"|"15157133"
"L"|"No "|"No "|"Loam"|"7950864"|"15305305"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950864"|"15601647"
"VAR"|"No "|"Yes"|"Variable"|"7950865"|"15453477"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7950866"|"15601648"
"L"|"No "|"Yes"|"Loam"|"7950867"|"15157134"
"SL"|"No "|"No "|"Sandy loam"|"7950868"|"15305306"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7950868"|"15453478"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950868"|"15601649"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7950869"|"15157135"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950870"|"15305307"
"CL"|"No "|"No "|"Clay loam"|"7950870"|"15453479"
"L"|"No "|"No "|"Loam"|"7950870"|"15601650"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950871"|"15157136"
"L"|"No "|"No "|"Loam"|"7950871"|"15305308"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950871"|"15453480"
"SL"|"No "|"No "|"Sandy loam"|"7950872"|"15157137"
"L"|"No "|"No "|"Loam"|"7950872"|"15305309"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950872"|"15601651"
"VAR"|"No "|"Yes"|"Variable"|"7950873"|"15453481"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950874"|"15157138"
"L"|"No "|"No "|"Loam"|"7950874"|"15305310"
"SL"|"No "|"No "|"Sandy loam"|"7950874"|"15601652"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7950875"|"15453482"
"SL"|"No "|"Yes"|"Sandy loam"|"7950876"|"15601653"
"L"|"No "|"No "|"Loam"|"7950877"|"15157139"
"SL"|"No "|"No "|"Sandy loam"|"7950877"|"15305311"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950877"|"15453483"
"CL"|"No "|"No "|"Clay loam"|"7950878"|"15157140"
"C"|"No "|"No "|"Clay"|"7950878"|"15601654"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"7950879"|"15305312"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950880"|"15157141"
"L"|"No "|"No "|"Loam"|"7950880"|"15453484"
"SL"|"No "|"No "|"Sandy loam"|"7950880"|"15601655"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950881"|"15305313"
"L"|"No "|"No "|"Loam"|"7950881"|"15453485"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950881"|"15601656"
"VAR"|"No "|"Yes"|"Variable"|"7950882"|"15157142"
"C"|"No "|"No "|"Clay"|"7950883"|"15305314"
"CL"|"No "|"No "|"Clay loam"|"7950883"|"15453486"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950883"|"15601657"
"VAR"|"No "|"Yes"|"Variable"|"7950884"|"15157143"
"VAR"|"No "|"Yes"|"Variable"|"7950885"|"15305315"
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|"7950886"|"15453487"
"SL"|"No "|"Yes"|"Sandy loam"|"7950887"|"15601658"
"L"|"No "|"Yes"|"Loam"|"7950888"|"15157144"
"GRX-FSL"|"No "|"No "|"Extremely gravelly fine sandy loam"|"7950889"|"15305316"
"STV-L"|"No "|"No "|"Very stony loam"|"7950889"|"15453488"
"CBV-SCL"|"No "|"No "|"Very cobbly sandy clay loam"|"7950889"|"15601659"
"VAR"|"No "|"Yes"|"Variable"|"7950890"|"15157145"
"SL"|"No "|"Yes"|"Sandy loam"|"7950891"|"15305317"
"SL"|"No "|"Yes"|"Sandy loam"|"7950892"|"15453489"
"CL"|"No "|"No "|"Clay loam"|"7950893"|"15157146"
"C"|"No "|"No "|"Clay"|"7950893"|"15305318"
"SC"|"No "|"No "|"Sandy clay"|"7950893"|"15601660"
"SL"|"No "|"No "|"Sandy loam"|"7950894"|"15453490"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950894"|"15601661"
"S"|"No "|"No "|"Sand"|"7950895"|"15157147"
"FS"|"No "|"No "|"Fine sand"|"7950895"|"15305319"
"SL"|"No "|"No "|"Sandy loam"|"7950896"|"15453491"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950896"|"15601662"
"SL"|"No "|"No "|"Sandy loam"|"7950897"|"15157148"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950897"|"15305320"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950898"|"15157149"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950898"|"15453492"
"SL"|"No "|"No "|"Sandy loam"|"7950898"|"15601663"
"S"|"No "|"No "|"Sand"|"7950899"|"15305321"
"FS"|"No "|"No "|"Fine sand"|"7950899"|"15453493"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950900"|"15157150"
"SL"|"No "|"No "|"Sandy loam"|"7950900"|"15601664"
"SL"|"No "|"No "|"Sandy loam"|"7950901"|"15305322"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950901"|"15453494"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950902"|"15157151"
"CL"|"No "|"No "|"Clay loam"|"7950902"|"15305323"
"SL"|"No "|"No "|"Sandy loam"|"7950902"|"15601665"
"SL"|"No "|"No "|"Sandy loam"|"7950903"|"15453495"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950903"|"15601666"
"SL"|"No "|"Yes"|"Sandy loam"|"7950904"|"15157152"
"SL"|"No "|"Yes"|"Sandy loam"|"7950905"|"15305324"
"S"|"No "|"No "|"Sand"|"7950906"|"15453496"
"FS"|"No "|"No "|"Fine sand"|"7950906"|"15601667"
"SC"|"No "|"No "|"Sandy clay"|"7950907"|"15157153"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950907"|"15305325"
"C"|"No "|"No "|"Clay"|"7950907"|"15453497"
"LS"|"No "|"Yes"|"Loamy sand"|"7950908"|"15601668"
"SL"|"No "|"No "|"Sandy loam"|"7950909"|"15157154"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950909"|"15305326"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950909"|"15453498"
"SC"|"No "|"No "|"Sandy clay"|"7950910"|"15157155"
"CL"|"No "|"No "|"Clay loam"|"7950910"|"15305327"
"C"|"No "|"No "|"Clay"|"7950910"|"15601669"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950911"|"15453499"
"SL"|"No "|"No "|"Sandy loam"|"7950911"|"15601670"
"SL"|"No "|"No "|"Sandy loam"|"7950912"|"15157156"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950912"|"15305328"
"SC"|"No "|"No "|"Sandy clay"|"7950912"|"15453500"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950913"|"15157157"
"L"|"No "|"No "|"Loam"|"7950913"|"15305329"
"CL"|"No "|"No "|"Clay loam"|"7950913"|"15601671"
"S"|"No "|"No "|"Sand"|"7950914"|"15157158"
"LFS"|"No "|"No "|"Loamy fine sand"|"7950914"|"15453501"
"SL"|"No "|"No "|"Sandy loam"|"7950914"|"15601672"
"SL"|"No "|"Yes"|"Sandy loam"|"7950915"|"15305330"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950916"|"15157159"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950916"|"15453502"
"SL"|"No "|"No "|"Sandy loam"|"7950916"|"15601673"
"S"|"No "|"Yes"|"Sand"|"7950917"|"15305331"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950918"|"15453503"
"SC"|"No "|"No "|"Sandy clay"|"7950918"|"15601674"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950919"|"15157160"
"SC"|"No "|"No "|"Sandy clay"|"7950919"|"15305332"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7950920"|"15453504"
"SC"|"No "|"No "|"Sandy clay"|"7950921"|"15157161"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950921"|"15601675"
"LS"|"No "|"Yes"|"Loamy sand"|"7950922"|"15305333"
"SL"|"No "|"Yes"|"Sandy loam"|"7950923"|"15453505"
"LS"|"No "|"Yes"|"Loamy sand"|"7950924"|"15601676"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950925"|"15157162"
"CL"|"No "|"No "|"Clay loam"|"7950925"|"15305334"
"SC"|"No "|"No "|"Sandy clay"|"7950925"|"15453506"
"LS"|"No "|"Yes"|"Loamy sand"|"7950926"|"15601677"
"SL"|"No "|"Yes"|"Sandy loam"|"7950927"|"15157163"
"SL"|"No "|"No "|"Sandy loam"|"7950928"|"15305335"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7950928"|"15453507"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950928"|"15601678"
"LS"|"No "|"Yes"|"Loamy sand"|"7950929"|"15157164"
"SL"|"No "|"No "|"Sandy loam"|"7950930"|"15305336"
"FSL"|"No "|"No "|"Fine sandy loam"|"7950930"|"15453508"
"SCL"|"No "|"No "|"Sandy clay loam"|"7950930"|"15601679"
"C"|"No "|"No "|"Clay"|"7950931"|"15157165"
